dateTime,next_dateTime,arr_volume_group,dep_volume_group,volume_group,metarKey,visibility,verVisibility,minVisibility,dirMinVisibility,CAVOK,temperature,dewPoint,qnh,unitPressure,variable,direction,knots,gustyWind,maxKnots,oscillationFrom,oscillationTo,noPhenDetected,recent,intensity,characteristic,phenomenon1,phenomenon2,phenomenon3,noSignificantClouds,noCloudDetected,amount,height,type
2019-01-01 00:00:00.000,2019-01-01 00:30:00.000,BAJA,BAJA,BAJA,4254860,,,,,1.0,3.0,3.0,1029.0,hPa,1.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 00:30:00.000,2019-01-01 01:00:00.000,BAJA,BAJA,BAJA,4254861,,,,,1.0,3.0,3.0,1029.0,hPa,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 01:00:00.000,2019-01-01 01:30:00.000,BAJA,BAJA,BAJA,4254862,,,,,1.0,3.0,3.0,1029.0,hPa,0.0,160.0,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 01:30:00.000,2019-01-01 02:00:00.000,BAJA,BAJA,BAJA,4254863,,,,,1.0,3.0,3.0,1029.0,hPa,0.0,80.0,3.0,0.0,,10.0,120.0,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 02:00:00.000,2019-01-01 02:30:00.000,BAJA,BAJA,BAJA,4254864,,,,,1.0,3.0,3.0,1029.0,hPa,1.0,,1.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 02:30:00.000,2019-01-01 03:00:00.000,BAJA,BAJA,BAJA,4254865,,,,,1.0,2.0,2.0,1029.0,hPa,1.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 03:00:00.000,2019-01-01 03:30:00.000,BAJA,BAJA,BAJA,4254866,,,,,1.0,3.0,3.0,1029.0,hPa,0.0,70.0,4.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 03:30:00.000,2019-01-01 04:00:00.000,BAJA,BAJA,BAJA,4254867,,,,,1.0,2.0,2.0,1029.0,hPa,0.0,50.0,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 04:00:00.000,2019-01-01 04:30:00.000,BAJA,BAJA,BAJA,4254868,,,,,1.0,2.0,2.0,1029.0,hPa,0.0,50.0,3.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 04:30:00.000,2019-01-01 05:00:00.000,BAJA,BAJA,BAJA,4254869,,,,,1.0,2.0,2.0,1029.0,hPa,0.0,50.0,3.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 05:00:00.000,2019-01-01 05:30:00.000,BAJA,BAJA,BAJA,4254870,,,,,1.0,2.0,2.0,1028.0,hPa,0.0,50.0,3.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 05:30:00.000,2019-01-01 06:00:00.000,BAJA,MEDIA,BAJA,4254871,,,,,1.0,2.0,2.0,1028.0,hPa,1.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 06:00:00.000,2019-01-01 06:30:00.000,MEDIA,MEDIA,MEDIA,4254872,,,,,1.0,1.0,1.0,1029.0,hPa,0.0,40.0,1.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 06:30:00.000,2019-01-01 07:00:00.000,MEDIA,MEDIA,MEDIA,4254873,,,,,1.0,1.0,1.0,1029.0,hPa,0.0,20.0,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 07:00:00.000,2019-01-01 07:30:00.000,BAJA,MEDIA,MEDIA,4254874,,,,,1.0,1.0,1.0,1029.0,hPa,1.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 07:30:00.000,2019-01-01 08:00:00.000,MEDIA,MEDIA,MEDIA,4254875,,,,,1.0,1.0,1.0,1029.0,hPa,1.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 08:00:00.000,2019-01-01 08:30:00.000,MEDIA,MEDIA,MEDIA,4254876,,,,,1.0,3.0,3.0,1030.0,hPa,1.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
2019-01-01 08:30:00.000,2019-01-01 09:00:00.000,MEDIA,MEDIA,MEDIA,4254877,,,,,1.0,5.0,5.0,1030.0,hPa,1.0,,1.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
